"","region","category","language","mother_tongue","most_at_home","most_at_work","lang_known"
"4615","Edmonton","Aboriginal languages","Nisga'a",5,0,0,10
"4616","Ottawa - Gatineau","Aboriginal languages","Nisga'a",0,0,0,0
"4617","Kelowna","Aboriginal languages","Nisga'a",0,0,0,0
"4618","Abbotsford - Mission","Aboriginal languages","Nisga'a",0,0,0,0
"4619","Vancouver","Aboriginal languages","Nisga'a",30,10,0,70
"4620","Victoria","Aboriginal languages","Nisga'a",5,0,0,0
"4621","St. John's","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4622","Halifax","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4623","Moncton","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4624","Saint John","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4625","Saguenay","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4626","Québec","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4627","Sherbrooke","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4628","Trois-Rivières","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4629","Montréal","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4630","Kingston","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4631","Belleville","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4632","Peterborough","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4633","Oshawa","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4634","Toronto","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4635","Hamilton","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4636","St. Catharines - Niagara","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4637","Kitchener - Cambridge - Waterloo","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4638","Brantford","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4639","Guelph","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4640","London","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4641","Windsor","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4642","Barrie","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4643","Greater Sudbury","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4644","Thunder Bay","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4645","Winnipeg","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4646","Regina","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4647","Saskatoon","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4648","Lethbridge","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4649","Calgary","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4650","Edmonton","Aboriginal languages","North Slavey (Hare)",10,0,0,15
"4651","Ottawa - Gatineau","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4652","Kelowna","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4653","Abbotsford - Mission","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4654","Vancouver","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4655","Victoria","Aboriginal languages","North Slavey (Hare)",0,0,0,0
"4656","St. John's","Aboriginal languages","Northern East Cree",0,0,0,0
"4657","Halifax","Aboriginal languages","Northern East Cree",0,0,0,0
"4658","Moncton","Aboriginal languages","Northern East Cree",0,0,0,0
"4659","Saint John","Aboriginal languages","Northern East Cree",0,0,0,0
"4660","Saguenay","Aboriginal languages","Northern East Cree",0,0,0,0
"4661","Québec","Aboriginal languages","Northern East Cree",5,0,0,0
"4662","Sherbrooke","Aboriginal languages","Northern East Cree",0,0,0,0
"4663","Trois-Rivières","Aboriginal languages","Northern East Cree",0,0,0,0
"4664","Montréal","Aboriginal languages","Northern East Cree",50,30,15,75
"4665","Kingston","Aboriginal languages","Northern East Cree",0,0,0,0
"4666","Belleville","Aboriginal languages","Northern East Cree",0,0,0,0
"4667","Peterborough","Aboriginal languages","Northern East Cree",0,0,0,0
"4668","Oshawa","Aboriginal languages","Northern East Cree",0,0,0,0
"4669","Toronto","Aboriginal languages","Northern East Cree",0,0,0,10
"4670","Hamilton","Aboriginal languages","Northern East Cree",0,0,0,0
"4671","St. Catharines - Niagara","Aboriginal languages","Northern East Cree",0,0,0,0
"4672","Kitchener - Cambridge - Waterloo","Aboriginal languages","Northern East Cree",0,0,0,0
"4673","Brantford","Aboriginal languages","Northern East Cree",0,0,0,0
"4674","Guelph","Aboriginal languages","Northern East Cree",0,0,0,0
"4675","London","Aboriginal languages","Northern East Cree",0,0,0,0
"4676","Windsor","Aboriginal languages","Northern East Cree",0,0,0,0
"4677","Barrie","Aboriginal languages","Northern East Cree",0,0,0,0
"4678","Greater Sudbury","Aboriginal languages","Northern East Cree",0,0,0,15
"4679","Thunder Bay","Aboriginal languages","Northern East Cree",0,0,0,0
"4680","Winnipeg","Aboriginal languages","Northern East Cree",15,0,0,35
"4681","Regina","Aboriginal languages","Northern East Cree",0,0,0,0
"4682","Saskatoon","Aboriginal languages","Northern East Cree",5,5,0,10
"4683","Lethbridge","Aboriginal languages","Northern East Cree",0,0,0,10
"4684","Calgary","Aboriginal languages","Northern East Cree",0,0,0,10
"4685","Edmonton","Aboriginal languages","Northern East Cree",20,15,0,10
"4686","Ottawa - Gatineau","Aboriginal languages","Northern East Cree",60,30,15,85
"4687","Kelowna","Aboriginal languages","Northern East Cree",5,0,0,0
"4688","Abbotsford - Mission","Aboriginal languages","Northern East Cree",0,0,0,0
"4689","Vancouver","Aboriginal languages","Northern East Cree",0,0,0,0
"4690","Victoria","Aboriginal languages","Northern East Cree",0,0,0,0
"4691","St. John's","Aboriginal languages","Northern Tutchone",0,0,0,0
"4692","Halifax","Aboriginal languages","Northern Tutchone",0,0,0,0
"4693","Moncton","Aboriginal languages","Northern Tutchone",0,0,0,0
"4694","Saint John","Aboriginal languages","Northern Tutchone",0,0,0,0
"4695","Saguenay","Aboriginal languages","Northern Tutchone",0,0,0,0
"4696","Québec","Aboriginal languages","Northern Tutchone",0,0,0,0
"4697","Sherbrooke","Aboriginal languages","Northern Tutchone",0,0,0,0
"4698","Trois-Rivières","Aboriginal languages","Northern Tutchone",0,0,0,0
"4699","Montréal","Aboriginal languages","Northern Tutchone",0,0,0,0
"4700","Kingston","Aboriginal languages","Northern Tutchone",0,0,0,0
"4701","Belleville","Aboriginal languages","Northern Tutchone",0,0,0,0
"4702","Peterborough","Aboriginal languages","Northern Tutchone",0,0,0,0
"4703","Oshawa","Aboriginal languages","Northern Tutchone",0,0,0,0
"4704","Toronto","Aboriginal languages","Northern Tutchone",0,0,0,0
"4705","Hamilton","Aboriginal languages","Northern Tutchone",0,0,0,0
"4706","St. Catharines - Niagara","Aboriginal languages","Northern Tutchone",0,0,0,0
"4707","Kitchener - Cambridge - Waterloo","Aboriginal languages","Northern Tutchone",0,0,0,0
"4708","Brantford","Aboriginal languages","Northern Tutchone",0,0,0,0
"4709","Guelph","Aboriginal languages","Northern Tutchone",0,0,0,0
"4710","London","Aboriginal languages","Northern Tutchone",0,0,0,0
"4711","Windsor","Aboriginal languages","Northern Tutchone",0,0,0,0
"4712","Barrie","Aboriginal languages","Northern Tutchone",0,0,0,0
"4713","Greater Sudbury","Aboriginal languages","Northern Tutchone",0,0,0,0
"4714","Thunder Bay","Aboriginal languages","Northern Tutchone",0,0,0,0
"4715","Winnipeg","Aboriginal languages","Northern Tutchone",0,0,0,0
"4716","Regina","Aboriginal languages","Northern Tutchone",0,0,0,0
"4717","Saskatoon","Aboriginal languages","Northern Tutchone",0,0,0,0
"4718","Lethbridge","Aboriginal languages","Northern Tutchone",0,0,0,0
"4719","Calgary","Aboriginal languages","Northern Tutchone",0,0,0,0
"4720","Edmonton","Aboriginal languages","Northern Tutchone",0,0,0,0
"4721","Ottawa - Gatineau","Aboriginal languages","Northern Tutchone",0,0,0,0
"4722","Kelowna","Aboriginal languages","Northern Tutchone",0,0,0,0
"4723","Abbotsford - Mission","Aboriginal languages","Northern Tutchone",0,0,0,0
"4724","Vancouver","Aboriginal languages","Northern Tutchone",0,0,0,0
"4725","Victoria","Aboriginal languages","Northern Tutchone",0,0,0,0
"4726","St. John's","Non-Official & Non-Aboriginal languages","Norwegian",40,15,10,70
"4727","Halifax","Non-Official & Non-Aboriginal languages","Norwegian",75,10,0,80
"4728","Moncton","Non-Official & Non-Aboriginal languages","Norwegian",0,0,0,30
"4729","Saint John","Non-Official & Non-Aboriginal languages","Norwegian",10,5,0,25
"4730","Saguenay","Non-Official & Non-Aboriginal languages","Norwegian",0,0,0,10
"4731","Québec","Non-Official & Non-Aboriginal languages","Norwegian",5,0,0,25
"4732","Sherbrooke","Non-Official & Non-Aboriginal languages","Norwegian",5,0,10,15
"4733","Trois-Rivières","Non-Official & Non-Aboriginal languages","Norwegian",0,0,0,0
"4734","Montréal","Non-Official & Non-Aboriginal languages","Norwegian",145,15,0,355
"4735","Kingston","Non-Official & Non-Aboriginal languages","Norwegian",5,0,0,25
"4736","Belleville","Non-Official & Non-Aboriginal languages","Norwegian",5,0,0,0
"4737","Peterborough","Non-Official & Non-Aboriginal languages","Norwegian",10,5,0,0
"4738","Oshawa","Non-Official & Non-Aboriginal languages","Norwegian",35,0,0,55
"4739","Toronto","Non-Official & Non-Aboriginal languages","Norwegian",380,40,10,955
"4740","Hamilton","Non-Official & Non-Aboriginal languages","Norwegian",40,0,0,90
"4741","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","Norwegian",25,0,0,70
"4742","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","Norwegian",35,0,0,80
"4743","Brantford","Non-Official & Non-Aboriginal languages","Norwegian",5,0,0,0
"4744","Guelph","Non-Official & Non-Aboriginal languages","Norwegian",10,0,0,40
"4745","London","Non-Official & Non-Aboriginal languages","Norwegian",30,0,0,75
"4746","Windsor","Non-Official & Non-Aboriginal languages","Norwegian",5,0,0,0
"4747","Barrie","Non-Official & Non-Aboriginal languages","Norwegian",20,0,0,50
"4748","Greater Sudbury","Non-Official & Non-Aboriginal languages","Norwegian",0,0,0,0
"4749","Thunder Bay","Non-Official & Non-Aboriginal languages","Norwegian",10,0,0,25
"4750","Winnipeg","Non-Official & Non-Aboriginal languages","Norwegian",60,0,0,180
"4751","Regina","Non-Official & Non-Aboriginal languages","Norwegian",40,0,0,45
"4752","Saskatoon","Non-Official & Non-Aboriginal languages","Norwegian",75,5,0,105
"4753","Lethbridge","Non-Official & Non-Aboriginal languages","Norwegian",20,0,0,35
"4754","Calgary","Non-Official & Non-Aboriginal languages","Norwegian",245,25,0,495
"4755","Edmonton","Non-Official & Non-Aboriginal languages","Norwegian",210,15,0,450
"4756","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Norwegian",150,15,0,380
"4757","Kelowna","Non-Official & Non-Aboriginal languages","Norwegian",75,5,0,80
"4758","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Norwegian",55,0,0,70
"4759","Vancouver","Non-Official & Non-Aboriginal languages","Norwegian",840,70,15,1405
"4760","Victoria","Non-Official & Non-Aboriginal languages","Norwegian",205,15,0,295
"4761","St. John's","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4762","Halifax","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4763","Moncton","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4764","Saint John","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4765","Saguenay","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4766","Québec","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4767","Sherbrooke","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4768","Trois-Rivières","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4769","Montréal","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4770","Kingston","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4771","Belleville","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4772","Peterborough","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4773","Oshawa","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4774","Toronto","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,10,0
"4775","Hamilton","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4776","St. Catharines - Niagara","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4777","Kitchener - Cambridge - Waterloo","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4778","Brantford","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4779","Guelph","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4780","London","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4781","Windsor","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4782","Barrie","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4783","Greater Sudbury","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4784","Thunder Bay","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4785","Winnipeg","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4786","Regina","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4787","Saskatoon","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4788","Lethbridge","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4789","Calgary","Aboriginal languages","Nuu-chah-nulth (Nootka)",5,0,0,0
"4790","Edmonton","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4791","Ottawa - Gatineau","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4792","Kelowna","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4793","Abbotsford - Mission","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,0,0,0
"4794","Vancouver","Aboriginal languages","Nuu-chah-nulth (Nootka)",10,0,0,15
"4795","Victoria","Aboriginal languages","Nuu-chah-nulth (Nootka)",25,5,0,55
"4796","St. John's","Aboriginal languages","Oji-Cree",0,0,0,0
"4797","Halifax","Aboriginal languages","Oji-Cree",0,0,0,0
"4798","Moncton","Aboriginal languages","Oji-Cree",5,0,0,0
"4799","Saint John","Aboriginal languages","Oji-Cree",0,0,0,0
"4800","Saguenay","Aboriginal languages","Oji-Cree",0,0,0,0
"4801","Québec","Aboriginal languages","Oji-Cree",0,0,0,0
"4802","Sherbrooke","Aboriginal languages","Oji-Cree",0,0,0,0
"4803","Trois-Rivières","Aboriginal languages","Oji-Cree",0,0,0,0
"4804","Montréal","Aboriginal languages","Oji-Cree",0,0,0,0
"4805","Kingston","Aboriginal languages","Oji-Cree",0,0,0,0
"4806","Belleville","Aboriginal languages","Oji-Cree",0,0,0,0
"4807","Peterborough","Aboriginal languages","Oji-Cree",0,0,0,0
"4808","Oshawa","Aboriginal languages","Oji-Cree",0,0,0,0
"4809","Toronto","Aboriginal languages","Oji-Cree",10,5,0,10
"4810","Hamilton","Aboriginal languages","Oji-Cree",0,0,0,0
"4811","St. Catharines - Niagara","Aboriginal languages","Oji-Cree",0,0,0,10
"4812","Kitchener - Cambridge - Waterloo","Aboriginal languages","Oji-Cree",0,0,0,0
"4813","Brantford","Aboriginal languages","Oji-Cree",0,0,0,0
"4814","Guelph","Aboriginal languages","Oji-Cree",0,0,0,0
"4815","London","Aboriginal languages","Oji-Cree",5,0,0,0
"4816","Windsor","Aboriginal languages","Oji-Cree",0,0,0,0
"4817","Barrie","Aboriginal languages","Oji-Cree",0,0,0,0
"4818","Greater Sudbury","Aboriginal languages","Oji-Cree",0,0,0,20
"4819","Thunder Bay","Aboriginal languages","Oji-Cree",410,105,10,655
"4820","Winnipeg","Aboriginal languages","Oji-Cree",695,285,10,1105
"4821","Regina","Aboriginal languages","Oji-Cree",0,0,0,0
"4822","Saskatoon","Aboriginal languages","Oji-Cree",0,0,0,0
"4823","Lethbridge","Aboriginal languages","Oji-Cree",0,0,0,0
"4824","Calgary","Aboriginal languages","Oji-Cree",5,0,0,10
"4825","Edmonton","Aboriginal languages","Oji-Cree",0,0,0,0
"4826","Ottawa - Gatineau","Aboriginal languages","Oji-Cree",5,0,0,15
"4827","Kelowna","Aboriginal languages","Oji-Cree",0,0,0,0
"4828","Abbotsford - Mission","Aboriginal languages","Oji-Cree",0,0,0,0
"4829","Vancouver","Aboriginal languages","Oji-Cree",5,0,0,0
"4830","Victoria","Aboriginal languages","Oji-Cree",0,0,0,0
"4831","St. John's","Aboriginal languages","Ojibway",0,0,0,10
"4832","Halifax","Aboriginal languages","Ojibway",0,5,0,10
"4833","Moncton","Aboriginal languages","Ojibway",5,0,0,10
"4834","Saint John","Aboriginal languages","Ojibway",0,0,0,0
"4835","Saguenay","Aboriginal languages","Ojibway",0,0,0,0
"4836","Québec","Aboriginal languages","Ojibway",0,0,0,20
"4837","Sherbrooke","Aboriginal languages","Ojibway",0,0,0,0
"4838","Trois-Rivières","Aboriginal languages","Ojibway",0,0,0,0
"4839","Montréal","Aboriginal languages","Ojibway",5,0,0,10
"4840","Kingston","Aboriginal languages","Ojibway",5,0,0,20
"4841","Belleville","Aboriginal languages","Ojibway",0,0,0,0
"4842","Peterborough","Aboriginal languages","Ojibway",80,30,0,365
"4843","Oshawa","Aboriginal languages","Ojibway",5,0,0,30
"4844","Toronto","Aboriginal languages","Ojibway",225,35,0,670
"4845","Hamilton","Aboriginal languages","Ojibway",25,5,0,60
"4846","St. Catharines - Niagara","Aboriginal languages","Ojibway",25,0,0,40
"4847","Kitchener - Cambridge - Waterloo","Aboriginal languages","Ojibway",10,0,0,65
"4848","Brantford","Aboriginal languages","Ojibway",10,15,0,20
"4849","Guelph","Aboriginal languages","Ojibway",10,0,0,15
"4850","London","Aboriginal languages","Ojibway",50,10,0,135
"4851","Windsor","Aboriginal languages","Ojibway",10,0,0,10
"4852","Barrie","Aboriginal languages","Ojibway",25,0,0,80
"4853","Greater Sudbury","Aboriginal languages","Ojibway",185,35,0,550
"4854","Thunder Bay","Aboriginal languages","Ojibway",700,185,35,950
"4855","Winnipeg","Aboriginal languages","Ojibway",1640,365,35,2700
"4856","Regina","Aboriginal languages","Ojibway",100,10,0,115
"4857","Saskatoon","Aboriginal languages","Ojibway",160,30,0,200
"4858","Lethbridge","Aboriginal languages","Ojibway",0,0,0,0
"4859","Calgary","Aboriginal languages","Ojibway",55,5,0,95
"4860","Edmonton","Aboriginal languages","Ojibway",90,20,0,165
"4861","Ottawa - Gatineau","Aboriginal languages","Ojibway",75,15,0,215
"4862","Kelowna","Aboriginal languages","Ojibway",5,0,0,0
"4863","Abbotsford - Mission","Aboriginal languages","Ojibway",5,5,0,10
"4864","Vancouver","Aboriginal languages","Ojibway",60,5,0,120
"4865","Victoria","Aboriginal languages","Ojibway",5,0,0,10
"4866","St. John's","Aboriginal languages","Okanagan",0,0,0,0
"4867","Halifax","Aboriginal languages","Okanagan",0,0,0,0
"4868","Moncton","Aboriginal languages","Okanagan",0,0,0,0
"4869","Saint John","Aboriginal languages","Okanagan",0,0,0,0
"4870","Saguenay","Aboriginal languages","Okanagan",0,0,0,0
"4871","Québec","Aboriginal languages","Okanagan",0,0,0,0
"4872","Sherbrooke","Aboriginal languages","Okanagan",0,0,0,0
"4873","Trois-Rivières","Aboriginal languages","Okanagan",0,0,0,0
"4874","Montréal","Aboriginal languages","Okanagan",0,0,0,0
"4875","Kingston","Aboriginal languages","Okanagan",0,0,0,0
"4876","Belleville","Aboriginal languages","Okanagan",0,0,0,0
"4877","Peterborough","Aboriginal languages","Okanagan",0,0,0,0
"4878","Oshawa","Aboriginal languages","Okanagan",0,0,0,0
"4879","Toronto","Aboriginal languages","Okanagan",0,0,0,0
"4880","Hamilton","Aboriginal languages","Okanagan",0,0,0,0
"4881","St. Catharines - Niagara","Aboriginal languages","Okanagan",0,0,0,0
"4882","Kitchener - Cambridge - Waterloo","Aboriginal languages","Okanagan",0,0,0,0
"4883","Brantford","Aboriginal languages","Okanagan",0,0,0,0
"4884","Guelph","Aboriginal languages","Okanagan",0,0,0,0
"4885","London","Aboriginal languages","Okanagan",0,0,0,0
"4886","Windsor","Aboriginal languages","Okanagan",0,0,0,0
"4887","Barrie","Aboriginal languages","Okanagan",0,0,0,0
"4888","Greater Sudbury","Aboriginal languages","Okanagan",0,0,0,0
"4889","Thunder Bay","Aboriginal languages","Okanagan",0,0,0,0
"4890","Winnipeg","Aboriginal languages","Okanagan",0,0,0,0
"4891","Regina","Aboriginal languages","Okanagan",0,0,0,0
"4892","Saskatoon","Aboriginal languages","Okanagan",0,0,0,0
"4893","Lethbridge","Aboriginal languages","Okanagan",0,0,0,0
"4894","Calgary","Aboriginal languages","Okanagan",0,0,0,0
"4895","Edmonton","Aboriginal languages","Okanagan",5,0,0,10
"4896","Ottawa - Gatineau","Aboriginal languages","Okanagan",0,0,0,0
"4897","Kelowna","Aboriginal languages","Okanagan",50,0,0,75
"4898","Abbotsford - Mission","Aboriginal languages","Okanagan",0,0,0,0
"4899","Vancouver","Aboriginal languages","Okanagan",5,0,0,35
"4900","Victoria","Aboriginal languages","Okanagan",0,0,0,0
"4901","St. John's","Aboriginal languages","Oneida",0,0,0,0
"4902","Halifax","Aboriginal languages","Oneida",0,0,0,0
"4903","Moncton","Aboriginal languages","Oneida",0,0,0,0
"4904","Saint John","Aboriginal languages","Oneida",0,0,0,0
"4905","Saguenay","Aboriginal languages","Oneida",0,0,0,0
"4906","Québec","Aboriginal languages","Oneida",0,0,0,0
"4907","Sherbrooke","Aboriginal languages","Oneida",0,0,0,0
"4908","Trois-Rivières","Aboriginal languages","Oneida",0,0,0,0
"4909","Montréal","Aboriginal languages","Oneida",0,0,0,0
"4910","Kingston","Aboriginal languages","Oneida",0,0,0,0
"4911","Belleville","Aboriginal languages","Oneida",0,0,0,0
"4912","Peterborough","Aboriginal languages","Oneida",5,0,0,0
"4913","Oshawa","Aboriginal languages","Oneida",0,0,0,0
"4914","Toronto","Aboriginal languages","Oneida",0,0,0,10
"4915","Hamilton","Aboriginal languages","Oneida",0,0,0,0
"4916","St. Catharines - Niagara","Aboriginal languages","Oneida",0,0,0,0
"4917","Kitchener - Cambridge - Waterloo","Aboriginal languages","Oneida",0,0,0,0
"4918","Brantford","Aboriginal languages","Oneida",0,0,0,0
"4919","Guelph","Aboriginal languages","Oneida",0,0,0,0
"4920","London","Aboriginal languages","Oneida",50,15,0,115
"4921","Windsor","Aboriginal languages","Oneida",0,0,0,30
"4922","Barrie","Aboriginal languages","Oneida",0,0,0,0
"4923","Greater Sudbury","Aboriginal languages","Oneida",0,0,0,0
"4924","Thunder Bay","Aboriginal languages","Oneida",0,0,0,0
"4925","Winnipeg","Aboriginal languages","Oneida",0,0,0,0
"4926","Regina","Aboriginal languages","Oneida",0,0,0,0
"4927","Saskatoon","Aboriginal languages","Oneida",0,0,0,0
"4928","Lethbridge","Aboriginal languages","Oneida",5,0,0,0
"4929","Calgary","Aboriginal languages","Oneida",0,0,0,0
"4930","Edmonton","Aboriginal languages","Oneida",0,0,0,0
"4931","Ottawa - Gatineau","Aboriginal languages","Oneida",0,0,0,0
"4932","Kelowna","Aboriginal languages","Oneida",0,0,0,0
"4933","Abbotsford - Mission","Aboriginal languages","Oneida",0,0,0,0
"4934","Vancouver","Aboriginal languages","Oneida",0,0,0,0
"4935","Victoria","Aboriginal languages","Oneida",0,0,0,0
"4936","St. John's","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4937","Halifax","Non-Official & Non-Aboriginal languages","Oriya (Odia)",10,0,0,20
"4938","Moncton","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4939","Saint John","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4940","Saguenay","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4941","Québec","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4942","Sherbrooke","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4943","Trois-Rivières","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4944","Montréal","Non-Official & Non-Aboriginal languages","Oriya (Odia)",30,15,0,55
"4945","Kingston","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4946","Belleville","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4947","Peterborough","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4948","Oshawa","Non-Official & Non-Aboriginal languages","Oriya (Odia)",10,5,0,0
"4949","Toronto","Non-Official & Non-Aboriginal languages","Oriya (Odia)",580,270,0,930
"4950","Hamilton","Non-Official & Non-Aboriginal languages","Oriya (Odia)",15,5,0,15
"4951","St. Catharines - Niagara","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,15
"4952","Kitchener - Cambridge - Waterloo","Non-Official & Non-Aboriginal languages","Oriya (Odia)",20,10,0,15
"4953","Brantford","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4954","Guelph","Non-Official & Non-Aboriginal languages","Oriya (Odia)",25,10,0,0
"4955","London","Non-Official & Non-Aboriginal languages","Oriya (Odia)",10,0,0,10
"4956","Windsor","Non-Official & Non-Aboriginal languages","Oriya (Odia)",5,0,0,0
"4957","Barrie","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4958","Greater Sudbury","Non-Official & Non-Aboriginal languages","Oriya (Odia)",5,5,0,10
"4959","Thunder Bay","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4960","Winnipeg","Non-Official & Non-Aboriginal languages","Oriya (Odia)",5,0,0,15
"4961","Regina","Non-Official & Non-Aboriginal languages","Oriya (Odia)",5,0,0,0
"4962","Saskatoon","Non-Official & Non-Aboriginal languages","Oriya (Odia)",10,0,0,10
"4963","Lethbridge","Non-Official & Non-Aboriginal languages","Oriya (Odia)",5,0,0,0
"4964","Calgary","Non-Official & Non-Aboriginal languages","Oriya (Odia)",100,50,0,145
"4965","Edmonton","Non-Official & Non-Aboriginal languages","Oriya (Odia)",70,35,0,105
"4966","Ottawa - Gatineau","Non-Official & Non-Aboriginal languages","Oriya (Odia)",40,10,0,75
"4967","Kelowna","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4968","Abbotsford - Mission","Non-Official & Non-Aboriginal languages","Oriya (Odia)",0,0,0,0
"4969","Vancouver","Non-Official & Non-Aboriginal languages","Oriya (Odia)",65,30,0,70
"4970","Victoria","Non-Official & Non-Aboriginal languages","Oriya (Odia)",5,5,0,0
"4971","St. John's","Non-Official & Non-Aboriginal languages","Oromo",30,30,0,15
"4972","Halifax","Non-Official & Non-Aboriginal languages","Oromo",55,45,0,35
"4973","Moncton","Non-Official & Non-Aboriginal languages","Oromo",0,0,0,0
"4974","Saint John","Non-Official & Non-Aboriginal languages","Oromo",0,0,0,0
"4975","Saguenay","Non-Official & Non-Aboriginal languages","Oromo",0,0,0,0
"4976","Québec","Non-Official & Non-Aboriginal languages","Oromo",0,0,0,0
"4977","Sherbrooke","Non-Official & Non-Aboriginal languages","Oromo",0,0,0,0
"4978","Trois-Rivières","Non-Official & Non-Aboriginal languages","Oromo",0,0,0,0
"4979","Montréal","Non-Official & Non-Aboriginal languages","Oromo",5,5,0,30
"4980","Kingston","Non-Official & Non-Aboriginal languages","Oromo",0,0,0,10
