,genre,sold by,daily average.amazon revenue,daily average.author revenue,daily average.gross sales,daily average.publisher revenue,daily average.units sold,publisher.name,publisher.type,statistics.average rating,statistics.sale price,statistics.sales rank,statistics.total reviews
409,nonfiction,"Amazon Digital Services,  Inc.",3.396,3.396,16.98,10.188,2,(Small or Medium Publisher),small/medium,4.67,8.49,84199,100
410,nonfiction,"Amazon Digital Services,  Inc.",27.54,64.26,91.8,0.0,10,(Indie Publisher),indie,4.53,9.18,26772,112
411,genre fiction,"Amazon Digital Services,  Inc.",3.892,3.892,19.46,11.676,14,(Single-Author Publisher),single author,4.86,1.39,10582,98
412,children,"Amazon Digital Services,  Inc.",0.6435,0.3465,0.99,0.0,1,(Indie Publisher),indie,4.12,0.99,92102,8
413,children,HarperCollins Publishers,15.548,15.548,77.74,46.644,13,HarperCollins,big five,4.79,5.98,14814,136
414,genre fiction,"Amazon Digital Services,  Inc.",5.382,12.558,17.94,0.0,6,(Indie Publisher),indie,5.0,2.99,45619,1
415,nonfiction,Simon and Schuster Digital Sales Inc,8.304,8.304,41.52,24.912,4,Scribner,big five,4.14,10.38,58528,395
416,nonfiction,Penguin Group (USA) LLC,4.792,4.792,23.96,14.376,4,DK Publishing,big five,3.81,5.99,59925,11
417,nonfiction,HarperCollins Publishers,1.954,1.954,9.77,5.862,1,HarperBusiness,big five,4.28,9.77,99440,28
418,nonfiction,"Amazon Digital Services,  Inc.",7.176,16.744,23.92,0.0,8,(Indie Publisher),indie,4.38,2.99,37270,18
419,nonfiction,"Amazon Digital Services,  Inc.",1.794,4.186,5.98,0.0,2,(Indie Publisher),indie,4.07,2.99,86589,13
420,nonfiction,"Amazon Digital Services,  Inc.",23.984,23.984,119.92,71.952,8,(Small or Medium Publisher),small/medium,4.84,14.99,37299,39
421,genre fiction,HarperCollins Publishers,268.464,268.464,1342.32,805.392,168,William Morrow,big five,4.17,7.99,528,2333
422,nonfiction,"Amazon Digital Services,  Inc.",10.374,10.374,51.87,31.122,13,(Single-Author Publisher),single author,4.7,3.99,14663,48
423,nonfiction,"Amazon Digital Services,  Inc.",17.982,17.982,89.91,53.946,9,(Small or Medium Publisher),small/medium,3.71,9.99,32564,57
424,genre fiction,"Amazon Digital Services,  Inc.",21.564,50.316,71.88,0.0,12,(Indie Publisher),indie,4.32,5.99,19275,164
425,nonfiction,"Amazon Digital Services,  Inc.",27.972,27.972,139.86,83.916,14,(Single-Author Publisher),single author,4.38,9.99,13009,95
426,genre fiction,Macmillan,35.168,35.168,175.84,105.504,16,Tor Books,big five,4.13,10.99,9473,165
427,nonfiction,Hachette Book Group,36.372,36.372,181.86,109.116,14,Grand Central Life & Style,big five,3.14,12.99,13989,41
428,children,"Amazon Digital Services,  Inc.",93.24,93.24,466.2,279.72,90,(Small or Medium Publisher),small/medium,4.7,5.18,1988,557
429,genre fiction,"Amazon Digital Services,  Inc.",0.764,0.764,3.82,2.292,1,(Small or Medium Publisher),small/medium,4.42,3.82,90330,7
430,nonfiction,"Amazon Digital Services,  Inc.",18.96,18.96,94.8,56.88,10,(Small or Medium Publisher),small/medium,4.82,9.48,27606,23
431,genre fiction,"Amazon Digital Services,  Inc.",3.72,3.72,18.6,11.16,6,(Small or Medium Publisher),small/medium,5.0,3.1,43311,5
432,nonfiction,HarperCollins Publishers,1.6,1.6,8.0,4.8,1,HarperCollins e-books,big five,4.25,8.0,91104,128
433,genre fiction,"Amazon Digital Services,  Inc.",5.382,12.558,17.94,0.0,6,(Indie Publisher),indie,4.6,2.99,42043,56
434,nonfiction,"Amazon Digital Services,  Inc.",2.798,2.798,13.99,8.394,1,(Small or Medium Publisher),small/medium,4.25,13.99,96995,4
435,nonfiction,"Amazon Digital Services,  Inc.",1.998,1.998,9.99,5.994,1,(Small or Medium Publisher),small/medium,4.76,9.99,87787,17
436,nonfiction,"Amazon Digital Services,  Inc.",16.776,16.776,83.88,50.328,9,(Small or Medium Publisher),small/medium,4.48,9.32,30633,91
437,genre fiction,"Amazon Digital Services,  Inc.",44.844,44.844,224.22,134.532,74,(Small or Medium Publisher),small/medium,4.23,3.03,2793,55
438,genre fiction,Macmillan,8.756,8.756,43.78,26.268,22,St. Martin's Paperbacks,big five,3.86,1.99,6713,30
439,children,HarperCollins Publishers,3.072,3.072,15.36,9.216,3,HarperCollins,big five,4.3,5.12,70266,33
440,genre fiction,"Amazon Digital Services,  Inc.",81.2,81.2,406.0,243.6,58,(Single-Author Publisher),single author,4.68,7.0,3618,105
441,nonfiction,"Amazon Digital Services,  Inc.",1.538,1.538,7.69,4.614,1,(Small or Medium Publisher),small/medium,4.8,7.69,90098,21
442,children,Penguin Group (USA) LLC,8.52,8.52,42.6,25.56,10,Grosset & Dunlap,big five,4.53,4.26,27137,26
443,nonfiction,"Amazon Digital Services,  Inc.",1.592,1.592,7.96,4.776,4,(Single-Author Publisher),single author,4.0,1.99,54263,23
444,nonfiction,"Amazon Digital Services,  Inc.",25.974,25.974,129.87,77.922,13,(Single-Author Publisher),single author,4.01,9.99,16041,176
445,fiction,"Amazon Digital Services,  Inc.",28.728,67.032,95.76,0.0,12,(Indie Publisher),indie,3.82,7.98,19039,242
446,nonfiction,"Amazon Digital Services,  Inc.",4.792,4.792,23.96,14.376,4,(Small or Medium Publisher),small/medium,4.51,5.99,54924,49
447,nonfiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0.0,13,(Indie Publisher),indie,5.0,2.99,14283,4
448,genre fiction,"Amazon Digital Services,  Inc.",14.364,33.516,47.88,0.0,12,(Indie Publisher),indie,0.0,3.99,21678,0
449,genre fiction,Random House LLC,3.594,3.594,17.97,10.782,3,Spectra,big five,3.15,5.99,64689,88
450,nonfiction,Simon and Schuster Digital Sales Inc,190.708,190.708,953.54,572.124,98,Simon & Schuster,big five,4.36,9.73,1594,1172
451,genre fiction,"Amazon Digital Services,  Inc.",8.073,18.837,26.91,0.0,9,(Indie Publisher),indie,4.63,2.99,33338,33
452,children,"Amazon Digital Services,  Inc.",12.84,12.84,64.2,38.52,12,(Small or Medium Publisher),small/medium,4.76,5.35,20917,25
453,nonfiction,"Amazon Digital Services,  Inc.",11.988,11.988,59.94,35.964,6,(Single-Author Publisher),single author,4.51,9.99,44933,27
454,nonfiction,"Amazon Digital Services,  Inc.",17.982,17.982,89.91,53.946,9,(Small or Medium Publisher),small/medium,4.64,9.99,32684,162
455,nonfiction,"Amazon Digital Services,  Inc.",7.992,7.992,39.96,23.976,4,(Small or Medium Publisher),small/medium,4.56,9.99,58370,62
456,nonfiction,"Amazon Digital Services,  Inc.",2.392,2.392,11.96,7.176,4,(Single-Author Publisher),single author,3.0,2.99,52968,4
457,fiction,"Amazon Digital Services,  Inc.",54.876,54.876,274.38,164.628,51,(Small or Medium Publisher),small/medium,4.81,5.38,4010,55
458,nonfiction,"Amazon Digital Services,  Inc.",57.318,57.318,286.59,171.954,41,(Single-Author Publisher),single author,4.71,6.99,4609,884
459,fiction,"Amazon Digital Services,  Inc.",8.073,18.837,26.91,0.0,9,(Indie Publisher),indie,4.57,2.99,32263,28
460,genre fiction,Macmillan,30.052,30.052,150.26,90.156,22,St. Martin's Press,big five,4.52,6.83,6798,514
461,genre fiction,Random House LLC,28.416,28.416,142.08,85.248,12,LucasBooks,big five,4.22,11.84,19189,222
462,children,"Amazon Digital Services,  Inc.",1.98,1.98,9.9,5.94,10,(Single-Author Publisher),single author,3.8,0.99,27986,15
463,nonfiction,"Amazon Digital Services,  Inc.",57.456,57.456,287.28,172.368,72,(Small or Medium Publisher),small/medium,4.26,3.99,2873,15
464,nonfiction,"Amazon Digital Services,  Inc.",11.656,11.656,58.28,34.968,4,(Small or Medium Publisher),small/medium,3.8,14.57,50851,25
465,nonfiction,"Amazon Digital Services,  Inc.",2.394,2.394,11.97,7.182,3,(Single-Author Publisher),single author,4.09,3.99,62508,10
466,nonfiction,"Amazon Digital Services,  Inc.",13.816,13.816,69.08,41.448,4,(Small or Medium Publisher),small/medium,3.5,17.27,52595,4
467,children,HarperCollins Publishers,0.948,0.948,4.74,2.844,1,HarperCollins,big five,4.46,4.74,98425,30
468,nonfiction,"Amazon Digital Services,  Inc.",34.086,79.534,113.62,0.0,38,(Indie Publisher),indie,4.55,2.99,4774,43
469,genre fiction,"Amazon Digital Services,  Inc.",32.319,75.411,107.73,0.0,27,(Indie Publisher),indie,4.22,3.99,5374,241
470,genre fiction,"Amazon Digital Services,  Inc.",20.592,20.592,102.96,61.776,104,(Small or Medium Publisher),small/medium,4.0,0.99,1333,120
471,genre fiction,"Amazon Digital Services,  Inc.",3.168,3.168,15.84,9.504,16,(Single-Author Publisher),single author,0.0,0.99,9134,0
472,genre fiction,Random House LLC,11.94,11.94,59.7,35.82,30,Bantam,big five,3.96,1.99,5179,278
473,nonfiction,"Amazon Digital Services,  Inc.",29.14,29.14,145.7,87.42,10,(Small or Medium Publisher),small/medium,4.0,14.57,26175,55
474,comics,"Amazon Digital Services,  Inc.",5.532,5.532,27.66,16.596,6,(Small or Medium Publisher),small/medium,0.0,4.61,45765,0
475,genre fiction,Hachette Book Group,43.152,43.152,215.76,129.456,24,Grand Central Publishing,big five,4.33,8.99,5660,386
476,nonfiction,"Amazon Digital Services,  Inc.",7.194,7.194,35.97,21.582,3,(Small or Medium Publisher),small/medium,4.36,11.99,69573,68
477,nonfiction,"Amazon Digital Services,  Inc.",3.2175,1.7325,4.95,0.0,5,(Indie Publisher),indie,4.3,0.99,47033,10
478,genre fiction,"Amazon Digital Services,  Inc.",20.958,48.902,69.86,0.0,14,(Indie Publisher),indie,4.7,4.99,10686,57
479,nonfiction,Penguin Group (USA) LLC,8.792,8.792,43.96,26.376,4,Penguin Books,big five,4.11,10.99,54968,35
480,children,"Amazon Digital Services,  Inc.",0.598,0.598,2.99,1.794,1,(Small or Medium Publisher),small/medium,5.0,2.99,92641,1
481,nonfiction,"Amazon Digital Services,  Inc.",111.776,111.776,558.88,335.328,56,(Small or Medium Publisher),small/medium,4.47,9.98,3733,828
482,nonfiction,"Amazon Digital Services,  Inc.",8.694,8.694,43.47,26.082,3,(Small or Medium Publisher),small/medium,4.36,14.49,62985,68
483,children,"Amazon Digital Services,  Inc.",1.364,1.364,6.82,4.092,2,(Small or Medium Publisher),small/medium,4.73,3.41,76284,57
484,nonfiction,"Amazon Digital Services,  Inc.",1.998,1.998,9.99,5.994,1,(Small or Medium Publisher),small/medium,4.19,9.99,92429,88
485,nonfiction,"Amazon Digital Services,  Inc.",4.5045,2.4255,6.93,0.0,7,(Indie Publisher),indie,4.88,0.99,38817,35
486,comics,"Amazon Digital Services,  Inc.",2.292,2.292,11.46,6.876,3,(Small or Medium Publisher),small/medium,3.68,3.82,65182,19
487,children,"Amazon Digital Services,  Inc.",1.018,1.018,5.09,3.054,1,(Small or Medium Publisher),small/medium,0.0,5.09,93960,0
488,nonfiction,"Amazon Digital Services,  Inc.",29.97,69.93,99.9,0.0,10,(Indie Publisher),indie,4.52,9.99,26299,17
489,genre fiction,"Amazon Digital Services,  Inc.",67.232,67.232,336.16,201.696,88,(Small or Medium Publisher),small/medium,4.0,3.82,2051,1
490,fiction,Random House LLC,158.202,158.202,791.01,474.606,99,Vintage,big five,4.03,7.99,1526,385
491,nonfiction,"Amazon Digital Services,  Inc.",5.964,5.964,29.82,17.892,3,(Small or Medium Publisher),small/medium,4.65,9.94,66727,41
492,nonfiction,Macmillan,3.556,3.556,17.78,10.668,2,St. Martin's Griffin,big five,3.9,8.89,79204,31
493,nonfiction,"Amazon Digital Services,  Inc.",10.374,10.374,51.87,31.122,13,(Small or Medium Publisher),small/medium,4.31,3.99,15986,29
494,children,HarperCollins Publishers,3.196,3.196,15.98,9.588,2,HarperCollins,big five,4.44,7.99,79873,153
495,children,"Amazon Digital Services,  Inc.",3.056,3.056,15.28,9.168,4,(Small or Medium Publisher),small/medium,4.75,3.82,57271,8
496,genre fiction,"Amazon Digital Services,  Inc.",15.968,15.968,79.84,47.904,16,(Single-Author Publisher),single author,4.5,4.99,9435,34
497,genre fiction,"Amazon Digital Services,  Inc.",13.568,13.568,67.84,40.704,16,(Small or Medium Publisher),small/medium,4.36,4.24,9301,11
498,nonfiction,Macmillan,3.556,3.556,17.78,10.668,2,"Farrar, Straus and Giroux",big five,4.63,8.89,83781,36
499,genre fiction,"Amazon Digital Services,  Inc.",11.661,27.209,38.87,0.0,13,(Indie Publisher),indie,4.42,2.99,17869,87
500,nonfiction,"Amazon Digital Services,  Inc.",11.596,11.596,57.98,34.788,2,(Small or Medium Publisher),small/medium,4.7,28.99,82467,17
501,genre fiction,"Amazon Digital Services,  Inc.",1.376,1.376,6.88,4.128,2,(Small or Medium Publisher),small/medium,4.71,3.44,81503,7
502,genre fiction,"Amazon Digital Services,  Inc.",3.82,3.82,19.1,11.46,5,(Small or Medium Publisher),small/medium,4.8,3.82,49651,5
503,nonfiction,"Amazon Digital Services,  Inc.",3.0,3.0,15.0,9.0,6,(Small or Medium Publisher),small/medium,4.5,2.5,45924,51
504,nonfiction,Random House LLC,319.93,319.93,1599.65,959.79,535,Broadway Books,big five,4.46,2.99,193,1980
505,genre fiction,"Amazon Digital Services,  Inc.",133.233,310.877,444.11,0.0,89,(Indie Publisher),indie,4.78,4.99,2031,150
506,children,HarperCollins Publishers,3.908,3.908,19.54,11.724,2,Katherine Tegen Books,big five,4.1,9.77,78221,28
507,genre fiction,"Amazon Digital Services,  Inc.",1.528,1.528,7.64,4.584,2,(Small or Medium Publisher),small/medium,4.57,3.82,79669,19
508,genre fiction,"Amazon Digital Services,  Inc.",57.408,133.952,191.36,0.0,64,(Indie Publisher),indie,4.47,2.99,3333,198
509,nonfiction,Random House LLC,9.99,9.99,49.95,29.97,5,Vintage,big five,4.25,9.99,48396,300
510,genre fiction,"Amazon Digital Services,  Inc.",23.92,23.92,119.6,71.76,40,(Single-Author Publisher),single author,4.43,2.99,4637,66
511,genre fiction,"Amazon Digital Services,  Inc.",3.032,3.032,15.16,9.096,4,(Small or Medium Publisher),small/medium,3.9,3.79,51342,10
512,fiction,"Amazon Digital Services,  Inc.",3.874,2.086,5.96,0.0,4,(Indie Publisher),indie,3.83,1.49,53559,6
513,nonfiction,"Amazon Digital Services,  Inc.",11.192,11.192,55.96,33.576,4,(Small or Medium Publisher),small/medium,5.0,13.99,60317,1
514,nonfiction,"Amazon Digital Services,  Inc.",5.964,13.916,19.88,0.0,4,(Indie Publisher),indie,2.8,4.97,55254,20
515,nonfiction,"Amazon Digital Services,  Inc.",2.691,6.279,8.97,0.0,3,(Indie Publisher),indie,4.66,2.99,72071,3
516,genre fiction,"Amazon Digital Services,  Inc.",19.734,46.046,65.78,0.0,22,(Indie Publisher),indie,3.44,2.99,6433,9
517,genre fiction,"Amazon Digital Services,  Inc.",3.056,3.056,15.28,9.168,4,(Small or Medium Publisher),small/medium,4.71,3.82,57018,7
518,nonfiction,"Amazon Digital Services,  Inc.",0.897,2.093,2.99,0.0,1,(Indie Publisher),indie,3.42,2.99,92562,7
519,genre fiction,"Amazon Digital Services,  Inc.",31.437,73.353,104.79,0.0,21,(Indie Publisher),indie,4.75,4.99,7014,157
520,nonfiction,Simon and Schuster Digital Sales Inc,11.04,11.04,55.2,33.12,5,Touchstone,big five,4.57,11.04,47611,26
521,nonfiction,"Amazon Digital Services,  Inc.",5.608,5.608,28.04,16.824,4,(Small or Medium Publisher),small/medium,4.51,7.01,50975,189
522,children,HarperCollins Publishers,8.866,8.866,44.33,26.598,13,HarperFestival,big five,4.32,3.41,16133,37
523,nonfiction,"Amazon Digital Services,  Inc.",7.992,7.992,39.96,23.976,4,(Small or Medium Publisher),small/medium,4.25,9.99,59293,43
524,genre fiction,Macmillan,52.712,52.712,263.56,158.136,44,Tor Books,big five,3.59,5.99,4436,207
525,genre fiction,"Amazon Digital Services,  Inc.",0.398,0.398,1.99,1.194,1,(Small or Medium Publisher),small/medium,4.06,1.99,88727,63
526,children,"Amazon Digital Services,  Inc.",8.778,8.778,43.89,26.334,11,(Small or Medium Publisher),small/medium,4.67,3.99,25298,198
527,nonfiction,"Amazon Digital Services,  Inc.",3.076,3.076,15.38,9.228,2,(Small or Medium Publisher),small/medium,3.77,7.69,76328,107
528,genre fiction,"Amazon Digital Services,  Inc.",11.98,11.98,59.9,35.94,10,(Single-Author Publisher),single author,3.5,5.99,28871,10
529,genre fiction,"Amazon Digital Services,  Inc.",4.792,4.792,23.96,14.376,4,(Small or Medium Publisher),small/medium,4.63,5.99,62131,142
530,nonfiction,"Amazon Digital Services,  Inc.",2.178,2.178,10.89,6.534,11,(Single-Author Publisher),single author,4.26,0.99,25205,109
531,genre fiction,"Amazon Digital Services,  Inc.",10.374,10.374,51.87,31.122,13,(Single-Author Publisher),single author,4.56,3.99,14872,117
532,children,"Amazon Digital Services,  Inc.",2.574,1.386,3.96,0.0,4,(Indie Publisher),indie,4.57,0.99,55933,7
533,nonfiction,Simon and Schuster Digital Sales Inc,2.228,2.228,11.14,6.684,1,Scribner,big five,4.32,11.14,92607,25
534,nonfiction,Random House LLC,19.124,19.124,95.62,57.372,14,Dell,big five,4.74,6.83,12191,689
535,nonfiction,Penguin Group (USA) LLC,28.574,28.574,142.87,85.722,13,Penguin Books,big five,4.28,10.99,16904,180
536,nonfiction,"Amazon Digital Services,  Inc.",1.398,1.398,6.99,4.194,1,(Single-Author Publisher),single author,0.0,6.99,95939,0
537,nonfiction,Random House LLC,15.984,15.984,79.92,47.952,8,Broadway Books,big five,4.27,9.99,36000,137
538,comics,DC Comics,3.192,3.192,15.96,9.576,4,(Small or Medium Publisher),small/medium,4.0,3.99,57232,3
539,nonfiction,"Amazon Digital Services,  Inc.",11.192,11.192,55.96,33.576,4,(Single-Author Publisher),single author,3.97,13.99,61400,69
540,nonfiction,"Amazon Digital Services,  Inc.",11.988,11.988,59.94,35.964,6,(Small or Medium Publisher),small/medium,4.3,9.99,43895,83
541,nonfiction,"Amazon Digital Services,  Inc.",27.972,27.972,139.86,83.916,14,(Single-Author Publisher),single author,4.5,9.99,12514,98
542,genre fiction,"Amazon Digital Services,  Inc.",33.189,77.441,110.63,0.0,37,(Indie Publisher),indie,4.37,2.99,4801,51
543,genre fiction,Penguin Group (USA) LLC,28.574,28.574,142.87,85.722,13,Ace,big five,0.0,10.99,16033,0
544,genre fiction,"Amazon Digital Services,  Inc.",15.444,8.316,23.76,0.0,24,(Indie Publisher),indie,4.5,0.99,5865,12
545,genre fiction,"Amazon Digital Services,  Inc.",3.588,8.372,11.96,0.0,4,(Indie Publisher),indie,4.33,2.99,60514,21
546,nonfiction,HarperCollins Publishers,31.768,31.768,158.84,95.304,11,HarperOne,big five,3.86,14.44,25015,302
547,genre fiction,Random House LLC,12.784,12.784,63.92,38.352,8,WaterBrook Press,big five,4.56,7.99,36743,93
548,genre fiction,"Amazon Digital Services,  Inc.",44.91,104.79,149.7,0.0,30,(Indie Publisher),indie,4.53,4.99,5194,77
549,nonfiction,"Amazon Digital Services,  Inc.",3.896,3.896,19.48,11.688,4,(Small or Medium Publisher),small/medium,4.68,4.87,50414,69
550,genre fiction,"Amazon Digital Services,  Inc.",16.758,16.758,83.79,50.274,21,(Small or Medium Publisher),small/medium,4.71,3.99,6882,7
551,nonfiction,"Amazon Digital Services,  Inc.",21.996,21.996,109.98,65.988,2,(Small or Medium Publisher),small/medium,4.8,54.99,77946,36
552,nonfiction,Random House LLC,48.356,48.356,241.78,145.068,22,Knopf,big five,4.57,10.99,6812,35
553,genre fiction,"Amazon Digital Services,  Inc.",1.584,1.584,7.92,4.752,8,(Small or Medium Publisher),small/medium,3.67,0.99,35061,71
554,nonfiction,"Amazon Digital Services,  Inc.",68.376,68.376,341.88,205.128,12,(Small or Medium Publisher),small/medium,4.86,28.49,19794,60
555,nonfiction,Random House LLC,15.216,15.216,76.08,45.648,8,Random House,big five,4.09,9.51,37137,277
556,fiction,"Amazon Digital Services,  Inc.",439.04,439.04,2195.2,1317.12,980,(Small or Medium Publisher),small/medium,3.62,2.24,104,224
557,genre fiction,"Amazon Digital Services,  Inc.",11.964,27.916,39.88,0.0,4,(Indie Publisher),indie,4.68,9.97,58822,32
558,children,"Amazon Digital Services,  Inc.",1.794,1.794,8.97,5.382,3,(Small or Medium Publisher),small/medium,3.53,2.99,66215,13
559,children,"Amazon Digital Services,  Inc.",9.786,9.786,48.93,29.358,7,(Small or Medium Publisher),small/medium,4.33,6.99,40556,118
560,nonfiction,"Amazon Digital Services,  Inc.",2.392,2.392,11.96,7.176,4,(Small or Medium Publisher),small/medium,4.66,2.99,53370,27
561,fiction,"Amazon Digital Services,  Inc.",5.98,5.98,29.9,17.94,10,(Single-Author Publisher),single author,0.0,2.99,28642,0
562,nonfiction,"Amazon Digital Services,  Inc.",4.796,4.796,23.98,14.388,2,(Small or Medium Publisher),small/medium,4.55,11.99,83104,54
563,genre fiction,"Amazon Digital Services,  Inc.",6.112,6.112,30.56,18.336,8,(Small or Medium Publisher),small/medium,4.71,3.82,35426,56
564,children,Random House LLC,1.538,1.538,7.69,4.614,1,Random House Books for Young Readers,big five,4.69,7.69,97935,49
565,genre fiction,"Amazon Digital Services,  Inc.",289.674,675.906,965.58,0.0,242,(Indie Publisher),indie,4.96,3.99,366,26
566,genre fiction,Hachette Book Group,323.302,323.302,1616.51,969.906,49,"Little, Brown Books for Young Readers",big five,4.6,32.99,4142,402
567,nonfiction,"Amazon Digital Services,  Inc.",3.546,3.546,17.73,10.638,1,(Single-Author Publisher),single author,4.92,17.73,88136,13
568,children,"Amazon Digital Services,  Inc.",4.752,4.752,23.76,14.256,24,(Small or Medium Publisher),small/medium,4.39,0.99,5916,64
569,genre fiction,"Amazon Digital Services,  Inc.",33.516,33.516,167.58,100.548,42,(Single-Author Publisher),single author,4.91,3.99,4531,12
570,nonfiction,"Amazon Digital Services,  Inc.",0.897,2.093,2.99,0.0,1,(Indie Publisher),indie,0.0,2.99,91949,0
571,genre fiction,Random House LLC,13.178,13.178,65.89,39.534,11,Dell,big five,4.0,5.99,24018,111
572,genre fiction,Penguin Group (USA) LLC,70.682,70.682,353.41,212.046,59,Ace,big five,4.8,5.99,3599,606
573,nonfiction,"Amazon Digital Services,  Inc.",9.584,9.584,47.92,28.752,8,(Single-Author Publisher),single author,4.12,5.99,34589,55
574,genre fiction,"Amazon Digital Services,  Inc.",9.168,9.168,45.84,27.504,12,(Small or Medium Publisher),small/medium,4.14,3.82,20156,7
575,nonfiction,"Amazon Digital Services,  Inc.",3.99,3.99,19.95,11.97,5,(Single-Author Publisher),single author,4.42,3.99,46671,33
576,fiction,"Amazon Digital Services,  Inc.",8.372,8.372,41.86,25.116,14,(Small or Medium Publisher),small/medium,4.23,2.99,13701,86
577,children,Simon and Schuster Digital Sales Inc,0.852,0.852,4.26,2.556,1,Little Simon,big five,4.83,4.26,97352,6
578,nonfiction,"Amazon Digital Services,  Inc.",43.953,102.557,146.51,0.0,49,(Indie Publisher),indie,4.72,2.99,4142,43
579,genre fiction,Simon and Schuster Digital Sales Inc,1.518,1.518,7.59,4.554,1,Pocket Books/Star Trek,big five,3.6,7.59,91072,33
580,nonfiction,"Amazon Digital Services,  Inc.",27.356,27.356,136.78,82.068,14,(Small or Medium Publisher),small/medium,4.05,9.77,13815,35
581,children,HarperCollins Publishers,16.744,16.744,83.72,50.232,14,HarperCollins,big five,4.72,5.98,11187,147
582,nonfiction,"Amazon Digital Services,  Inc.",3.588,8.372,11.96,0.0,4,(Indie Publisher),indie,4.2,2.99,52872,10
583,nonfiction,"Amazon Digital Services,  Inc.",1.998,1.998,9.99,5.994,1,(Small or Medium Publisher),small/medium,5.0,9.99,91070,1
584,nonfiction,"Amazon Digital Services,  Inc.",1.998,1.998,9.99,5.994,1,(Single-Author Publisher),single author,4.12,9.99,99345,33
585,genre fiction,"Amazon Digital Services,  Inc.",11.96,11.96,59.8,35.88,20,(Single-Author Publisher),single author,4.5,2.99,7439,2
586,comics,"Amazon Digital Services,  Inc.",8.608,8.608,43.04,25.824,8,(Small or Medium Publisher),small/medium,4.43,5.38,35710,98
587,nonfiction,"Amazon Digital Services,  Inc.",3.076,3.076,15.38,9.228,2,(Single-Author Publisher),single author,4.0,7.69,86198,1
588,genre fiction,"Amazon Digital Services,  Inc.",3.588,8.372,11.96,0.0,4,(Indie Publisher),indie,4.08,2.99,55436,23
589,nonfiction,"Amazon Digital Services,  Inc.",27.972,27.972,139.86,83.916,14,(Small or Medium Publisher),small/medium,4.85,9.99,13682,7
590,genre fiction,"Amazon Digital Services,  Inc.",0.598,0.598,2.99,1.794,1,(Single-Author Publisher),single author,5.0,2.99,88824,2
591,children,"Amazon Digital Services,  Inc.",9.84,9.84,49.2,29.52,8,(Small or Medium Publisher),small/medium,4.82,6.15,35097,70
592,nonfiction,"Amazon Digital Services,  Inc.",4.485,10.465,14.95,0.0,5,(Indie Publisher),indie,4.71,2.99,47906,14
593,nonfiction,"Amazon Digital Services,  Inc.",7.98,7.98,39.9,23.94,10,(Small or Medium Publisher),small/medium,4.29,3.99,26283,162
594,genre fiction,"Amazon Digital Services,  Inc.",9.932,9.932,49.66,29.796,13,(Small or Medium Publisher),small/medium,4.81,3.82,16635,16
595,genre fiction,"Amazon Digital Services,  Inc.",125.685,293.265,418.95,0.0,105,(Indie Publisher),indie,4.73,3.99,1282,381
596,genre fiction,"Amazon Digital Services,  Inc.",8.404,8.404,42.02,25.212,11,(Small or Medium Publisher),small/medium,4.53,3.82,23900,138
597,nonfiction,"Amazon Digital Services,  Inc.",5.382,5.382,26.91,16.146,9,(Small or Medium Publisher),small/medium,4.14,2.99,33751,41
598,nonfiction,Penguin Group (USA) LLC,2.198,2.198,10.99,6.594,1,Penguin Books,big five,4.54,10.99,87656,57
599,nonfiction,Random House LLC,11.84,11.84,59.2,35.52,5,Bantam,big five,4.61,11.84,46456,139
600,genre fiction,"Amazon Digital Services,  Inc.",15.561,36.309,51.87,0.0,13,(Indie Publisher),indie,3.91,3.99,14930,210
601,nonfiction,"Amazon Digital Services,  Inc.",17.982,17.982,89.91,53.946,9,(Small or Medium Publisher),small/medium,4.5,9.99,33167,127
602,genre fiction,Macmillan,103.124,103.124,515.62,309.372,58,Minotaur Books,big five,4.5,8.89,3638,420
603,genre fiction,Random House LLC,4.792,4.792,23.96,14.376,4,LucasBooks,big five,4.01,5.99,59469,55
604,genre fiction,"Amazon Digital Services,  Inc.",12.558,29.302,41.86,0.0,14,(Indie Publisher),indie,4.22,2.99,12502,112
605,children,Random House LLC,5.586,5.586,27.93,16.758,7,Random House Books for Young Readers,big five,4.58,3.99,38854,63
606,nonfiction,"Amazon Digital Services,  Inc.",115.884,115.884,579.42,347.652,58,(Small or Medium Publisher),small/medium,3.93,9.99,3639,2345
607,genre fiction,Macmillan,11.942,11.942,59.71,35.826,7,St. Martin's Griffin,big five,3.6,8.53,38378,127
608,nonfiction,"Amazon Digital Services,  Inc.",7.0785,3.8115,10.89,0.0,11,(Indie Publisher),indie,3.75,0.99,23949,54
609,nonfiction,HarperCollins Publishers,8.338,8.338,41.69,25.014,11,Harper Element,big five,4.5,3.79,24802,172
610,genre fiction,Penguin Group (USA) LLC,3.392,3.392,16.96,10.176,4,Signet Classic,big five,4.5,4.24,59981,2
611,genre fiction,Penguin Group (USA) LLC,74.276,74.276,371.38,222.828,62,Signet,big five,4.04,5.99,3413,674
612,nonfiction,HarperCollins Publishers,48.336,48.336,241.68,145.008,24,HarperCollins e-books,big five,4.24,10.07,5612,645
